,artist,date,song,year
1183,daryl hall  john oates,1981-04-11,kiss on my list,1981
1184,daryl hall  john oates,1981-04-18,kiss on my list,1981
1185,daryl hall  john oates,1981-04-25,kiss on my list,1981
1186,sheena easton,1981-05-02,morning train (nine to five),1981
1187,sheena easton,1981-05-09,morning train (nine to five),1981
1188,kim carnes,1981-05-16,bette davis eyes,1981
1189,kim carnes,1981-05-23,bette davis eyes,1981
1190,kim carnes,1981-05-30,bette davis eyes,1981
1191,kim carnes,1981-06-06,bette davis eyes,1981
1192,kim carnes,1981-06-13,bette davis eyes,1981
1193,stars on 45,1981-06-20,medley,1981
1194,kim carnes,1981-06-27,bette davis eyes,1981
1195,kim carnes,1981-07-04,bette davis eyes,1981
1196,kim carnes,1981-07-11,bette davis eyes,1981
1197,kim carnes,1981-07-18,bette davis eyes,1981
1198,air supply,1981-07-25,the one that you love,1981
1199,rick springfield,1981-08-01,jessie's girl,1981
1200,rick springfield,1981-08-08,jessie's girl,1981
1201,diana ross & lionel richie,1981-08-15,endless love,1981
1202,diana ross & lionel richie,1981-08-22,endless love,1981
1203,diana ross & lionel richie,1981-08-29,endless love,1981
1204,diana ross & lionel richie,1981-09-05,endless love,1981
1205,diana ross & lionel richie,1981-09-12,endless love,1981
1206,diana ross & lionel richie,1981-09-19,endless love,1981
1207,diana ross & lionel richie,1981-09-26,endless love,1981
1208,diana ross & lionel richie,1981-10-03,endless love,1981
1209,diana ross & lionel richie,1981-10-10,endless love,1981
1210,christopher cross,1981-10-17,arthur's theme (best that you can do),1981
1211,christopher cross,1981-10-24,arthur's theme (best that you can do),1981
1212,christopher cross,1981-10-31,arthur's theme (best that you can do),1981
1213,daryl hall  john oates,1981-11-07,private eyes,1981
1214,daryl hall  john oates,1981-11-14,private eyes,1981
1215,olivia newton-john,1981-11-21,physical,1981
1216,olivia newton-john,1981-11-28,physical,1981
1217,olivia newton-john,1981-12-05,physical,1981
1218,olivia newton-john,1981-12-12,physical,1981
1219,olivia newton-john,1981-12-19,physical,1981
1220,olivia newton-john,1981-12-26,physical,1981
1221,olivia newton-john,1982-01-02,physical,1982
1222,olivia newton-john,1982-01-09,physical,1982
1223,olivia newton-john,1982-01-16,physical,1982
1224,olivia newton-john,1982-01-23,physical,1982
1225,daryl hall  john oates,1982-01-30,i can't go for that (no can do),1982
1226,the j. geils band,1982-02-06,centerfold,1982
1227,the j. geils band,1982-02-13,centerfold,1982
1228,the j. geils band,1982-02-20,centerfold,1982
1229,the j. geils band,1982-02-27,centerfold,1982
1230,the j. geils band,1982-03-06,centerfold,1982
1231,the j. geils band,1982-03-13,centerfold,1982
1232,joan jett and the blackhearts,1982-03-20,i love rock 'n roll,1982
1233,joan jett and the blackhearts,1982-03-27,i love rock 'n roll,1982
1234,joan jett and the blackhearts,1982-04-03,i love rock 'n roll,1982
1235,joan jett and the blackhearts,1982-04-10,i love rock 'n roll,1982
1236,joan jett and the blackhearts,1982-04-17,i love rock 'n roll,1982
1237,joan jett and the blackhearts,1982-04-24,i love rock 'n roll,1982
1238,joan jett and the blackhearts,1982-05-01,i love rock 'n roll,1982
1239,vangelis,1982-05-08,chariots of fire - titles,1982
1240,paul mccartney and stevie wonder,1982-05-15,ebony and ivory,1982
1241,paul mccartney and stevie wonder,1982-05-22,ebony and ivory,1982
1242,paul mccartney and stevie wonder,1982-05-29,ebony and ivory,1982
1243,paul mccartney and stevie wonder,1982-06-05,ebony and ivory,1982
1244,paul mccartney and stevie wonder,1982-06-12,ebony and ivory,1982
1245,paul mccartney and stevie wonder,1982-06-19,ebony and ivory,1982
1246,paul mccartney and stevie wonder,1982-06-26,ebony and ivory,1982
1247,the human league,1982-07-03,don't you want me,1982
1248,the human league,1982-07-10,don't you want me,1982
1249,the human league,1982-07-17,don't you want me,1982
1250,survivor,1982-07-24,eye of the tiger,1982
1251,survivor,1982-07-31,eye of the tiger,1982
1252,survivor,1982-08-07,eye of the tiger,1982
