,artist,date,song,year
1564,steve winwood,1988-07-30,roll with it,1988
1565,steve winwood,1988-08-06,roll with it,1988
1566,steve winwood,1988-08-13,roll with it,1988
1567,steve winwood,1988-08-20,roll with it,1988
1568,george michael,1988-08-27,monkey,1988
1569,george michael,1988-09-03,monkey,1988
1570,guns n  roses,1988-09-10,sweet child o  mine,1988
1571,guns n  roses,1988-09-17,sweet child o  mine,1988
1572,bobby mcferrin,1988-09-24,"don t worry, be happy (from ""cocktail"")",1988
1573,bobby mcferrin,1988-10-01,"don t worry, be happy (from ""cocktail"")",1988
1574,def leppard,1988-10-08,love bites,1988
1575,ub40,1988-10-15,red red wine,1988
1576,phil collins,1988-10-22,groovy kind of love,1988
1577,phil collins,1988-10-29,groovy kind of love,1988
1578,the beach boys,1988-11-05,"kokomo (from the ""cocktail"" soundtrack)",1988
1579,the escape club,1988-11-12,"wild, wild west",1988
1580,bon jovi,1988-11-19,bad medicine,1988
1581,bon jovi,1988-11-26,bad medicine,1988
1582,will to power,1988-12-03,"baby, i love your way/freebird medley",1988
1583,chicago,1988-12-10,look away,1988
1584,chicago,1988-12-17,look away,1988
1585,poison,1988-12-24,every rose has its thorn,1988
1586,poison,1988-12-31,every rose has its thorn,1988
1587,poison,1989-01-07,every rose has its thorn,1989
1588,bobby brown,1989-01-14,my prerogative,1989
1589,phil collins,1989-01-21,two hearts,1989
1590,phil collins,1989-01-28,two hearts,1989
1591,sheriff,1989-02-04,when i m with you,1989
1592,paula abdul,1989-02-11,straight up,1989
1593,paula abdul,1989-02-18,straight up,1989
1594,paula abdul,1989-02-25,straight up,1989
1595,debbie gibson,1989-03-04,lost in your eyes,1989
1596,debbie gibson,1989-03-11,lost in your eyes,1989
1597,debbie gibson,1989-03-18,lost in your eyes,1989
1598,mike,1989-03-25,the living years,1989
1599,bangles,1989-04-01,eternal flame,1989
1600,roxette,1989-04-08,the look,1989
1601,fine young cannibals,1989-04-15,she drives me crazy,1989
1602,madonna,1989-04-22,like a prayer,1989
1603,madonna,1989-04-29,like a prayer,1989
1604,madonna,1989-05-06,like a prayer,1989
1605,bon jovi,1989-05-13,i ll be there for you,1989
1606,paula abdul,1989-05-20,forever your girl,1989
1607,paula abdul,1989-05-27,forever your girl,1989
1608,michael damian,1989-06-03,"rock on (from ""dream a little dream"")",1989
1609,bette midler,1989-06-10,"wind beneath my wings (from ""beaches"")",1989
1610,new kids on the block,1989-06-17,i ll be loving you (forever),1989
1611,richard marx,1989-06-24,satisfied,1989
1612,milli vanilli,1989-07-01,baby don t forget my number,1989
1613,fine young cannibals,1989-07-08,good thing,1989
1614,simply red,1989-07-15,if you don t know me by now,1989
1615,martika,1989-07-22,toy soldiers,1989
1616,martika,1989-07-29,toy soldiers,1989
1617,the artist,1989-08-05,"batdance (from ""batman"")",1989
1618,richard marx,1989-08-12,right here waiting,1989
1619,richard marx,1989-08-19,right here waiting,1989
1620,richard marx,1989-08-26,right here waiting,1989
1621,paula abdul,1989-09-02,cold hearted,1989
1622,new kids on the block,1989-09-09,hangin  tough,1989
1623,gloria estefan,1989-09-16,don t wanna lose you,1989
1624,milli vanilli,1989-09-23,girl i m gonna miss you,1989
1625,milli vanilli,1989-09-30,girl i m gonna miss you,1989
1626,janet jackson,1989-10-07,miss you much,1989
1627,janet jackson,1989-10-14,miss you much,1989
1628,janet jackson,1989-10-21,miss you much,1989
1629,janet jackson,1989-10-28,miss you much,1989
1630,roxette,1989-11-04,listen to your heart,1989
1631,bad english,1989-11-11,when i see you smile,1989
1632,bad english,1989-11-18,when i see you smile,1989
1633,milli vanilli,1989-11-25,blame it on the rain,1989
1634,milli vanilli,1989-12-02,blame it on the rain,1989
1635,billy joel,1989-12-09,we didn t start the fire,1989
1636,billy joel,1989-12-16,we didn t start the fire,1989
1637,phil collins,1989-12-23,another day in paradise,1989
1638,phil collins,1989-12-30,another day in paradise,1989
1639,phil collins,1990-01-06,another day in paradise,1990
1640,phil collins,1990-01-13,another day in paradise,1990
1641,michael bolton,1990-01-20,how am i supposed to live without you,1990
1642,michael bolton,1990-01-27,how am i supposed to live without you,1990
1643,michael bolton,1990-02-03,how am i supposed to live without you,1990
1644,paula abdul (duet with the wild pair),1990-02-10,opposites attract,1990
1645,paula abdul (duet with the wild pair),1990-02-17,opposites attract,1990
1646,paula abdul (duet with the wild pair),1990-02-24,opposites attract,1990
1647,janet jackson,1990-03-03,escapade,1990
1648,janet jackson,1990-03-10,escapade,1990
1649,janet jackson,1990-03-17,escapade,1990
1650,alannah myles,1990-03-24,black velvet,1990
1651,alannah myles,1990-03-31,black velvet,1990
1652,taylor dayne,1990-04-07,love will lead you back,1990
1653,tommy page,1990-04-14,i ll be your everything,1990
1654,sinead o connor,1990-04-21,nothing compares 2 u,1990
1655,sinead o connor,1990-04-28,nothing compares 2 u,1990
1656,sinead o connor,1990-05-05,nothing compares 2 u,1990
1657,sinead o connor,1990-05-12,nothing compares 2 u,1990
1658,madonna,1990-05-19,vogue,1990
1659,madonna,1990-05-26,vogue,1990
1660,madonna,1990-06-02,vogue,1990
1661,wilson phillips,1990-06-09,hold on,1990
1662,roxette,1990-06-16,"it must have been love (from ""pretty woman"")",1990
1663,roxette,1990-06-23,"it must have been love (from ""pretty woman"")",1990
1664,new kids on the block,1990-06-30,step by step,1990
1665,new kids on the block,1990-07-07,step by step,1990
1666,new kids on the block,1990-07-14,step by step,1990
1667,glenn medeiros featuring bobby brown,1990-07-21,she ain t worth it,1990
1668,glenn medeiros featuring bobby brown,1990-07-28,she ain t worth it,1990
1669,mariah carey,1990-08-04,vision of love,1990
1670,mariah carey,1990-08-11,vision of love,1990
1671,mariah carey,1990-08-18,vision of love,1990
1672,mariah carey,1990-08-25,vision of love,1990
1673,sweet sensation,1990-09-01,if wishes came true,1990
1674,jon bon jovi,1990-09-08,"blaze of glory (from ""young guns ii"")",1990
1675,wilson phillips,1990-09-15,release me,1990
1676,wilson phillips,1990-09-22,release me,1990
1677,nelson,1990-09-29,(can t live without your) love and affection,1990
1678,maxi priest,1990-10-06,close to you,1990
1679,george michael,1990-10-13,praying for time,1990
1680,james ingram,1990-10-20,i don t have the heart,1990
1681,janet jackson,1990-10-27,black cat,1990
1682,vanilla ice,1990-11-03,ice ice baby,1990
1683,mariah carey,1990-11-10,love takes time,1990
1684,mariah carey,1990-11-17,love takes time,1990
1685,mariah carey,1990-11-24,love takes time,1990
1686,whitney houston,1990-12-01,i m your baby tonight,1990
1687,stevie b,1990-12-08,because i love you (the postman song),1990
1688,stevie b,1990-12-15,because i love you (the postman song),1990
1689,stevie b,1990-12-22,because i love you (the postman song),1990
1690,stevie b,1990-12-29,because i love you (the postman song),1990
1691,madonna,1991-01-05,justify my love,1991
1692,madonna,1991-01-12,justify my love,1991
1693,janet jackson,1991-01-19,love will never do (without you),1991
1694,surface,1991-01-26,the first time,1991
1695,surface,1991-02-02,the first time,1991
1696,c+c music factory,1991-02-09,gonna make you sweat,1991
1697,c+c music factory,1991-02-16,gonna make you sweat,1991
1698,whitney houston,1991-02-23,all the man that i need,1991
1699,whitney houston,1991-03-02,all the man that i need,1991
1700,mariah carey,1991-03-09,someday,1991
1701,mariah carey,1991-03-16,someday,1991
1702,timmy t.,1991-03-23,one more try,1991
1703,gloria estefan,1991-03-30,coming out of the dark,1991
1704,gloria estefan,1991-04-06,coming out of the dark,1991
1705,londonbeat,1991-04-13,i ve been thinking about you,1991
1706,wilson phillips,1991-04-20,you re in love,1991
1707,amy grant,1991-04-27,baby baby,1991
1708,amy grant,1991-05-04,baby baby,1991
1709,roxette,1991-05-11,joyride,1991
1710,hi-five,1991-05-18,i like the way (the kissing game),1991
1711,mariah carey,1991-05-25,i don t wanna cry,1991
1712,mariah carey,1991-06-01,i don t wanna cry,1991
1713,extreme,1991-06-08,more than words,1991
1714,paula abdul,1991-06-15,rush rush,1991
1715,paula abdul,1991-06-22,rush rush,1991
1716,paula abdul,1991-06-29,rush rush,1991
1717,paula abdul,1991-07-06,rush rush,1991
1718,paula abdul,1991-07-13,rush rush,1991
1719,emf,1991-07-20,unbelievable,1991
1720,bryan adams,1991-07-27,"(everything i do) i do it for you (from ""robin hood"")",1991
1721,bryan adams,1991-08-03,"(everything i do) i do it for you (from ""robin hood"")",1991
1722,bryan adams,1991-08-10,"(everything i do) i do it for you (from ""robin hood"")",1991
1723,bryan adams,1991-08-17,"(everything i do) i do it for you (from ""robin hood"")",1991
1724,bryan adams,1991-08-24,"(everything i do) i do it for you (from ""robin hood"")",1991
1725,bryan adams,1991-08-31,"(everything i do) i do it for you (from ""robin hood"")",1991
1726,bryan adams,1991-09-07,"(everything i do) i do it for you (from ""robin hood"")",1991
1727,paula abdul,1991-09-14,the promise of a new day,1991
1728,color me badd,1991-09-21,i adore mi amor,1991
1729,color me badd,1991-09-28,i adore mi amor,1991
1730,marky mark,1991-10-05,good vibrations,1991
1731,mariah carey,1991-10-12,emotions,1991
1732,mariah carey,1991-10-19,emotions,1991
1733,mariah carey,1991-10-26,emotions,1991
1734,karyn white,1991-11-02,romantic,1991
1735,prince and the n.p.g.,1991-11-09,cream,1991
1736,prince and the n.p.g.,1991-11-16,cream,1991
1737,michael bolton,1991-11-23,when a man loves a woman,1991
1738,bryan adams,1991-11-30,can t stop this thing we started,1991
1739,michael bolton,1991-12-07,when a man loves a woman,1991
1740,cece peniston,1991-12-14,finally,1991
1741,michael jackson,1991-12-21,black or white,1991
1742,michael jackson,1991-12-28,black or white,1991
1743,michael jackson,1992-01-04,black or white,1992
1744,michael jackson,1992-01-11,black or white,1992
1745,michael jackson,1992-01-18,black or white,1992
1746,color me badd,1992-01-25,all 4 love,1992
1747,george michael/elton john,1992-02-01,don t let the sun go down on me,1992
1748,right said fred,1992-02-08,i m too sexy,1992
1749,right said fred,1992-02-15,i m too sexy,1992
1750,right said fred,1992-02-22,i m too sexy,1992
1751,mr. big,1992-02-29,to be with you,1992
1752,mr. big,1992-03-07,to be with you,1992
1753,mr. big,1992-03-14,to be with you,1992
1754,vanessa williams,1992-03-21,save the best for last,1992
1755,vanessa williams,1992-03-28,save the best for last,1992
1756,vanessa williams,1992-04-04,save the best for last,1992
1757,vanessa williams,1992-04-11,save the best for last,1992
1758,vanessa williams,1992-04-18,save the best for last,1992
1759,kris kross,1992-04-25,jump,1992
1760,kris kross,1992-05-02,jump,1992
1761,kris kross,1992-05-09,jump,1992
1762,kris kross,1992-05-16,jump,1992
1763,kris kross,1992-05-23,jump,1992
1764,kris kross,1992-05-30,jump,1992
1765,kris kross,1992-06-06,jump,1992
1766,kris kross,1992-06-13,jump,1992
1767,mariah carey,1992-06-20,i ll be there,1992
1768,mariah carey,1992-06-27,i ll be there,1992
1769,sir mix-a-lot,1992-07-04,baby got back,1992
1770,sir mix-a-lot,1992-07-11,baby got back,1992
1771,sir mix-a-lot,1992-07-18,baby got back,1992
1772,sir mix-a-lot,1992-07-25,baby got back,1992
1773,sir mix-a-lot,1992-08-01,baby got back,1992
1774,madonna,1992-08-08,this used to be my playground,1992
1775,boyz ii men,1992-08-15,"end of the road (from ""boomerang"")",1992
1776,boyz ii men,1992-08-22,"end of the road (from ""boomerang"")",1992
1777,boyz ii men,1992-08-29,"end of the road (from ""boomerang"")",1992
1778,boyz ii men,1992-09-05,"end of the road (from ""boomerang"")",1992
1779,boyz ii men,1992-09-12,"end of the road (from ""boomerang"")",1992
1780,boyz ii men,1992-09-19,"end of the road (from ""boomerang"")",1992
1781,boyz ii men,1992-09-26,"end of the road (from ""boomerang"")",1992
1782,boyz ii men,1992-10-03,"end of the road (from ""boomerang"")",1992
1783,boyz ii men,1992-10-10,"end of the road (from ""boomerang"")",1992
1784,boyz ii men,1992-10-17,"end of the road (from ""boomerang"")",1992
1785,boyz ii men,1992-10-24,"end of the road (from ""boomerang"")",1992
1786,boyz ii men,1992-10-31,"end of the road (from ""boomerang"")",1992
1787,boyz ii men,1992-11-07,"end of the road (from ""boomerang"")",1992
1788,the heights,1992-11-14,how do you talk to an angel,1992
1789,the heights,1992-11-21,how do you talk to an angel,1992
1790,whitney houston,1992-11-28,"i will always love you (from ""the bodyguard"")",1992
1791,whitney houston,1992-12-05,"i will always love you (from ""the bodyguard"")",1992
1792,whitney houston,1992-12-12,"i will always love you (from ""the bodyguard"")",1992
1793,whitney houston,1992-12-19,"i will always love you (from ""the bodyguard"")",1992
1794,whitney houston,1992-12-26,"i will always love you (from ""the bodyguard"")",1992
1795,whitney houston,1993-01-02,"i will always love you (from ""the bodyguard"")",1993
1796,whitney houston,1993-01-09,"i will always love you (from ""the bodyguard"")",1993
1797,whitney houston,1993-01-16,"i will always love you (from ""the bodyguard"")",1993
1798,whitney houston,1993-01-23,"i will always love you (from ""the bodyguard"")",1993
1799,whitney houston,1993-01-30,"i will always love you (from ""the bodyguard"")",1993
1800,whitney houston,1993-02-06,"i will always love you (from ""the bodyguard"")",1993
1801,whitney houston,1993-02-13,"i will always love you (from ""the bodyguard"")",1993
1802,whitney houston,1993-02-20,"i will always love you (from ""the bodyguard"")",1993
1803,whitney houston,1993-02-27,"i will always love you (from ""the bodyguard"")",1993
1804,peabo bryson,1993-03-06,a whole new world (aladdin s theme),1993
1805,snow,1993-03-13,informer,1993
1806,snow,1993-03-20,informer,1993
1807,snow,1993-03-27,informer,1993
1808,snow,1993-04-03,informer,1993
1809,snow,1993-04-10,informer,1993
1810,snow,1993-04-17,informer,1993
1811,snow,1993-04-24,informer,1993
1812,silk,1993-05-01,freak me,1993
1813,silk,1993-05-08,freak me,1993
1814,janet jackson,1993-05-15,that s the way love goes,1993
1815,janet jackson,1993-05-22,that s the way love goes,1993
1816,janet jackson,1993-05-29,that s the way love goes,1993
1817,janet jackson,1993-06-05,that s the way love goes,1993
1818,janet jackson,1993-06-12,that s the way love goes,1993
1819,janet jackson,1993-06-19,that s the way love goes,1993
1820,janet jackson,1993-06-26,that s the way love goes,1993
1821,janet jackson,1993-07-03,that s the way love goes,1993
1822,swv,1993-07-10,weak,1993
1823,swv,1993-07-17,weak,1993
1824,ub40,1993-07-24,"can t help falling in love (from ""sliver"")",1993
1825,ub40,1993-07-31,"can t help falling in love (from ""sliver"")",1993
1826,ub40,1993-08-07,"can t help falling in love (from ""sliver"")",1993
1827,ub40,1993-08-14,"can t help falling in love (from ""sliver"")",1993
1828,ub40,1993-08-21,"can t help falling in love (from ""sliver"")",1993
1829,ub40,1993-08-28,"can t help falling in love (from ""sliver"")",1993
1830,ub40,1993-09-04,"can t help falling in love (from ""sliver"")",1993
1831,mariah carey,1993-09-11,dreamlover,1993
1832,mariah carey,1993-09-18,dreamlover,1993
1833,mariah carey,1993-09-25,dreamlover,1993
1834,mariah carey,1993-10-02,dreamlover,1993
1835,mariah carey,1993-10-09,dreamlover,1993
1836,mariah carey,1993-10-16,dreamlover,1993
1837,mariah carey,1993-10-23,dreamlover,1993
1838,mariah carey,1993-10-30,dreamlover,1993
1839,meat loaf,1993-11-06,i d do anything for love (but i won t do that),1993
1840,meat loaf,1993-11-13,i'd do anything for love (but i won't do that),1993
1841,meat loaf,1993-11-20,i'd do anything for love (but i won't do that),1993
1842,meat loaf,1993-11-27,i'd do anything for love (but i won't do that),1993
1843,meat loaf,1993-12-04,i'd do anything for love (but i won't do that),1993
1844,janet jackson,1993-12-11,again,1993
1845,janet jackson,1993-12-18,again,1993
1846,mariah carey,1993-12-25,hero,1993
1847,mariah carey,1994-01-01,hero,1994
1848,mariah carey,1994-01-08,hero,1994
1849,mariah carey,1994-01-15,hero,1994
1850,bryan adams/rod stewart/sting,1994-01-22,all for love,1994
1851,bryan adams/rod stewart/sting,1994-01-29,all for love,1994
1852,bryan adams/rod stewart/sting,1994-02-05,all for love,1994
1853,celine dion,1994-02-12,the power of love,1994
1854,celine dion,1994-02-19,the power of love,1994
1855,celine dion,1994-02-26,the power of love,1994
1856,celine dion,1994-03-05,the power of love,1994
1857,ace of base,1994-03-12,the sign,1994
1858,ace of base,1994-03-19,the sign,1994
1859,ace of base,1994-03-26,the sign,1994
1860,ace of base,1994-04-02,the sign,1994
1861,r. kelly,1994-04-09,bump n  grind,1994
1862,r. kelly,1994-04-16,bump n  grind,1994
1863,r. kelly,1994-04-23,bump n  grind,1994
1864,r. kelly,1994-04-30,bump n  grind,1994
1865,ace of base,1994-05-07,the sign,1994
1866,ace of base,1994-05-14,the sign,1994
1867,all-4-one,1994-05-21,i swear,1994
1868,all-4-one,1994-05-28,i swear,1994
1869,all-4-one,1994-06-04,i swear,1994
1870,all-4-one,1994-06-11,i swear,1994
1871,all-4-one,1994-06-18,i swear,1994
1872,all-4-one,1994-06-25,i swear,1994
1873,all-4-one,1994-07-02,i swear,1994
1874,all-4-one,1994-07-09,i swear,1994
1875,all-4-one,1994-07-16,i swear,1994
1876,all-4-one,1994-07-23,i swear,1994
1877,all-4-one,1994-07-30,i swear,1994
1878,lisa loeb,1994-08-06,"stay (i missed you) (from ""reality bites"")",1994
1879,lisa loeb,1994-08-13,"stay (i missed you) (from ""reality bites"")",1994
1880,lisa loeb,1994-08-20,"stay (i missed you) (from ""reality bites"")",1994
1881,boyz ii men,1994-08-27,i ll make love to you,1994
1882,boyz ii men,1994-09-03,i ll make love to you,1994
1883,boyz ii men,1994-09-10,i ll make love to you,1994
1884,boyz ii men,1994-09-17,i ll make love to you,1994
1885,boyz ii men,1994-09-24,i ll make love to you,1994
1886,boyz ii men,1994-10-01,i ll make love to you,1994
1887,boyz ii men,1994-10-08,i ll make love to you,1994
1888,boyz ii men,1994-10-15,i ll make love to you,1994
1889,boyz ii men,1994-10-22,i ll make love to you,1994
1890,boyz ii men,1994-10-29,i ll make love to you,1994
1891,boyz ii men,1994-11-05,i ll make love to you,1994
1892,boyz ii men,1994-11-12,i ll make love to you,1994
1893,boyz ii men,1994-11-19,i ll make love to you,1994
1894,boyz ii men,1994-11-26,i ll make love to you,1994
1895,boyz ii men,1994-12-03,on bended knee,1994
1896,boyz ii men,1994-12-10,on bended knee,1994
1897,ini kamoze,1994-12-17,"here comes the hotstepper (from ""ready to wear"")",1994
1898,ini kamoze,1994-12-24,"here comes the hotstepper (from ""ready to wear"")",1994
1899,boyz ii men,1994-12-31,on bended knee,1994
1900,boyz ii men,1995-01-07,on bended knee,1995
1901,boyz ii men,1995-01-14,on bended knee,1995
1902,boyz ii men,1995-01-21,on bended knee,1995
1903,tlc,1995-01-28,creep,1995
1904,tlc,1995-02-04,creep,1995
1905,tlc,1995-02-11,creep,1995
1906,tlc,1995-02-18,creep,1995
1907,madonna,1995-02-25,take a bow,1995
1908,madonna,1995-03-04,take a bow,1995
1909,madonna,1995-03-11,take a bow,1995
1910,madonna,1995-03-18,take a bow,1995
1911,madonna,1995-03-25,take a bow,1995
1912,madonna,1995-04-01,take a bow,1995
1913,madonna,1995-04-08,take a bow,1995
1914,montell jordan,1995-04-15,this is how we do it,1995
1915,montell jordan,1995-04-22,this is how we do it,1995
1916,montell jordan,1995-04-29,this is how we do it,1995
1917,montell jordan,1995-05-06,this is how we do it,1995
1918,montell jordan,1995-05-13,this is how we do it,1995
1919,montell jordan,1995-05-20,this is how we do it,1995
1920,montell jordan,1995-05-27,this is how we do it,1995
1921,bryan adams,1995-06-03,have you ever really loved a woman?,1995
1922,bryan adams,1995-06-10,have you ever really loved a woman?,1995
1923,bryan adams,1995-06-17,have you ever really loved a woman?,1995
1924,bryan adams,1995-06-24,have you ever really loved a woman?,1995
1925,bryan adams,1995-07-01,have you ever really loved a woman?,1995
1926,tlc,1995-07-08,waterfalls,1995
1927,tlc,1995-07-15,waterfalls,1995
1928,tlc,1995-07-22,waterfalls,1995
1929,tlc,1995-07-29,waterfalls,1995
1930,tlc,1995-08-05,waterfalls,1995
1931,tlc,1995-08-12,waterfalls,1995
1932,tlc,1995-08-19,waterfalls,1995
1933,seal,1995-08-26,"kiss from a rose (from ""batman forever"")",1995
1934,michael jackson,1995-09-02,you are not alone,1995
1935,coolio featuring l.v.,1995-09-09,"gangsta's paradise (from ""dangerous minds"")",1995
1936,coolio featuring l.v.,1995-09-16,"gangsta's paradise (from ""dangerous minds"")",1995
1937,coolio featuring l.v.,1995-09-23,"gangsta's paradise (from ""dangerous minds"")",1995
1938,mariah carey,1995-09-30,fantasy,1995
1939,mariah carey,1995-10-07,fantasy,1995
1940,mariah carey,1995-10-14,fantasy,1995
1941,mariah carey,1995-10-21,fantasy,1995
1942,mariah carey,1995-10-28,fantasy,1995
1943,mariah carey,1995-11-04,fantasy,1995
1944,mariah carey,1995-11-11,fantasy,1995
1945,mariah carey,1995-11-18,fantasy,1995
1946,whitney houston,1995-11-25,"exhale (shoop shoop) (from ""waiting to exhale"")",1995
1947,mariah carey & boyz ii men,1995-12-02,one sweet day,1995
1948,mariah carey & boyz ii men,1995-12-09,one sweet day,1995
1949,mariah carey & boyz ii men,1995-12-16,one sweet day,1995
1950,mariah carey & boyz ii men,1995-12-23,one sweet day,1995
1951,mariah carey & boyz ii men,1995-12-30,one sweet day,1995
1952,mariah carey & boyz ii men,1996-01-06,one sweet day,1996
1953,mariah carey & boyz ii men,1996-01-13,one sweet day,1996
1954,mariah carey & boyz ii men,1996-01-20,one sweet day,1996
1955,mariah carey & boyz ii men,1996-01-27,one sweet day,1996
1956,mariah carey & boyz ii men,1996-02-03,one sweet day,1996
1957,mariah carey & boyz ii men,1996-02-10,one sweet day,1996
1958,mariah carey & boyz ii men,1996-02-17,one sweet day,1996
1959,mariah carey & boyz ii men,1996-02-24,one sweet day,1996
1960,mariah carey & boyz ii men,1996-03-02,one sweet day,1996
1961,mariah carey & boyz ii men,1996-03-09,one sweet day,1996
1962,mariah carey & boyz ii men,1996-03-16,one sweet day,1996
1963,celine dion,1996-03-23,"because you loved me (from ""up close & personal"")",1996
1964,celine dion,1996-03-30,"because you loved me (from ""up close & personal"")",1996
1965,celine dion,1996-04-06,"because you loved me (from ""up close & personal"")",1996
1966,celine dion,1996-04-13,"because you loved me (from ""up close & personal"")",1996
1967,celine dion,1996-04-20,"because you loved me (from ""up close & personal"")",1996
1968,celine dion,1996-04-27,"because you loved me (from ""up close & personal"")",1996
1969,mariah carey,1996-05-04,always be my baby,1996
1970,mariah carey,1996-05-11,always be my baby,1996
1971,bone thugs-n-harmony,1996-05-18,tha crossroads,1996
1972,bone thugs-n-harmony,1996-05-25,tha crossroads,1996
1973,bone thugs-n-harmony,1996-06-01,tha crossroads,1996
1974,bone thugs-n-harmony,1996-06-08,tha crossroads,1996
1975,bone thugs-n-harmony,1996-06-15,tha crossroads,1996
1976,bone thugs-n-harmony,1996-06-22,tha crossroads,1996
1977,bone thugs-n-harmony,1996-06-29,tha crossroads,1996
1978,bone thugs-n-harmony,1996-07-06,tha crossroads,1996
1979,2pac featuring kc and jojo,1996-07-13,how do u want it/california love,1996
1980,2pac featuring kc and jojo,1996-07-20,how do u want it/california love,1996
1981,toni braxton,1996-07-27,you're makin' me high/let it flow,1996
1982,los del rio,1996-08-03,macarena (bayside boys mix),1996
1983,los del rio,1996-08-10,macarena (bayside boys mix),1996
1984,los del rio,1996-08-17,macarena (bayside boys mix),1996
1985,los del rio,1996-08-24,macarena (bayside boys mix),1996
1986,los del rio,1996-08-31,macarena (bayside boys mix),1996
1987,los del rio,1996-09-07,macarena (bayside boys mix),1996
1988,los del rio,1996-09-14,macarena (bayside boys mix),1996
1989,los del rio,1996-09-21,macarena (bayside boys mix),1996
1990,los del rio,1996-09-28,macarena (bayside boys mix),1996
1991,los del rio,1996-10-05,macarena (bayside boys mix),1996
1992,los del rio,1996-10-12,macarena (bayside boys mix),1996
1993,los del rio,1996-10-19,macarena (bayside boys mix),1996
1994,los del rio,1996-10-26,macarena (bayside boys mix),1996
1995,los del rio,1996-11-02,macarena (bayside boys mix),1996
1996,blackstreet (featuring dr. dre),1996-11-09,no diggity,1996
1997,blackstreet (featuring dr. dre),1996-11-16,no diggity,1996
1998,blackstreet (featuring dr. dre),1996-11-23,no diggity,1996
1999,blackstreet (featuring dr. dre),1996-11-30,no diggity,1996
2000,toni braxton,1996-12-07,un-break my heart,1996
2001,toni braxton,1996-12-14,un-break my heart,1996
2002,toni braxton,1996-12-21,un-break my heart,1996
2003,toni braxton,1996-12-28,un-break my heart,1996
2004,toni braxton,1997-01-04,un-break my heart,1997
2005,toni braxton,1997-01-11,un-break my heart,1997
2006,toni braxton,1997-01-18,un-break my heart,1997
2007,toni braxton,1997-01-25,un-break my heart,1997
2008,toni braxton,1997-02-01,un-break my heart,1997
2009,toni braxton,1997-02-08,un-break my heart,1997
2010,toni braxton,1997-02-15,un-break my heart,1997
2011,spice girls,1997-02-22,wannabe,1997
2012,spice girls,1997-03-01,wannabe,1997
2013,spice girls,1997-03-08,wannabe,1997
2014,spice girls,1997-03-15,wannabe,1997
2015,puff daddy (featuring mase),1997-03-22,can't nobody hold me down,1997
2016,puff daddy (featuring mase),1997-03-29,can't nobody hold me down,1997
2017,puff daddy (featuring mase),1997-04-05,can't nobody hold me down,1997
2018,puff daddy (featuring mase),1997-04-12,can't nobody hold me down,1997
2019,puff daddy (featuring mase),1997-04-19,can't nobody hold me down,1997
2020,puff daddy (featuring mase),1997-04-26,can't nobody hold me down,1997
2021,the notorious b.i.g.,1997-05-03,hypnotize,1997
2022,the notorious b.i.g.,1997-05-10,hypnotize,1997
2023,the notorious b.i.g.,1997-05-17,hypnotize,1997
2024,hanson,1997-05-24,mmmbop,1997
2025,hanson,1997-05-31,mmmbop,1997
2026,hanson,1997-06-07,mmmbop,1997
2027,puff daddy & faith evans featuring 112,1997-06-14,i'll be missing you,1997
2028,puff daddy & faith evans featuring 112,1997-06-21,i'll be missing you,1997
2029,puff daddy,1997-06-28,i ll be missing you,1997
2030,puff daddy,1997-07-05,i ll be missing you,1997
2031,puff daddy,1997-07-12,i ll be missing you,1997
2032,puff daddy,1997-07-19,i ll be missing you,1997
2033,puff daddy,1997-07-26,i ll be missing you,1997
2034,puff daddy,1997-08-02,i ll be missing you,1997
2035,puff daddy,1997-08-09,i ll be missing you,1997
2036,puff daddy & faith evans featuring 112,1997-08-16,i'll be missing you,1997
2037,puff daddy & faith evans featuring 112,1997-08-23,i'll be missing you,1997
2038,the notorious b.i.g. featuring puff daddy & mase,1997-08-30,mo money mo problems,1997
2039,the notorious b.i.g. featuring puff daddy & mase,1997-09-06,mo money mo problems,1997
2040,mariah carey,1997-09-13,honey,1997
2041,mariah carey,1997-09-20,honey,1997
2042,mariah carey,1997-09-27,honey,1997
2043,boyz ii men,1997-10-04,4 seasons of loneliness,1997
2044,elton john,1997-10-11,candle in the wind 1997/something about the way you look tonight,1997
2045,elton john,1997-10-18,candle in the wind 1997/something about the way you look tonight,1997
2046,elton john,1997-10-25,candle in the wind 1997/something about the way you look tonight,1997
2047,elton john,1997-11-01,candle in the wind 1997/something about the way you look tonight,1997
2048,elton john,1997-11-08,candle in the wind 1997/something about the way you look tonight,1997
2049,elton john,1997-11-15,candle in the wind 1997/something about the way you look tonight,1997
2050,elton john,1997-11-22,candle in the wind 1997/something about the way you look tonight,1997
2051,elton john,1997-11-29,candle in the wind 1997/something about the way you look tonight,1997
2052,elton john,1997-12-06,candle in the wind 1997/something about the way you look tonight,1997
2053,elton john,1997-12-13,candle in the wind 1997/something about the way you look tonight,1997
2054,elton john,1997-12-20,candle in the wind 1997/something about the way you look tonight,1997
2055,elton john,1997-12-27,candle in the wind 1997/something about the way you look tonight,1997
2056,elton john,1998-01-03,candle in the wind 1997/something about the way you look tonight,1998
2057,elton john,1998-01-10,candle in the wind 1997/something about the way you look tonight,1998
2058,savage garden,1998-01-17,truly madly deeply,1998
2059,savage garden,1998-01-24,truly madly deeply,1998
2060,janet,1998-01-31,together again,1998
2061,janet,1998-02-07,together again,1998
